,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel,Favourite
Bounds Green,0.06666666666666668,0.0,0.0,0.0,0.3333333333333333,0.2,0.06666666666666668,0.2,0.13333333333333333,0.0
Bow,0.0,0.0,0.0,0.0,0.5217391304347826,0.21739130434782608,0.0,0.2608695652173913,0.0,0.0
Bowes Park,0.0,0.08333333333333333,0.0,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0
Brent Cross,0.0,0.02083333333333333,0.0,0.0,0.3958333333333333,0.0,0.04166666666666666,0.5416666666666666,0.0,1.0
Brent Park,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0
Brentford,0.0,0.0,0.0,0.0,0.5,0.19230769230769232,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0
Brimsdown,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0
Brixton,0.14285714285714285,0.047619047619047616,0.0,0.0,0.4761904761904762,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.0,1.0
Brockley,0.1111111111111111,0.05555555555555555,0.0,0.0,0.3888888888888889,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0
Bromley,0.0,0.08333333333333333,0.0,0.0,0.7083333333333334,0.125,0.0,0.08333333333333333,0.0,0.0
Bromley (also Bromley-by-Bow),0.07142857142857142,0.07142857142857142,0.0,0.0,0.14285714285714285,0.21428571428571427,0.0,0.21428571428571427,0.2857142857142857,0.0
Bromley Common,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Brondesbury,0.0,0.0,0.0,0.0,0.64,0.12,0.0,0.08,0.16,0.0
Brunswick Park,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0
Bulls Cross,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0
Burnt Oak,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0
"Burroughs, The",0.0,0.0625,0.0625,0.0,0.5625,0.0625,0.0625,0.125,0.0625,1.0
Camberwell,0.054545454545454536,0.03636363636363636,0.0,0.0,0.5636363636363636,0.12727272727272726,0.03636363636363636,0.09090909090909093,0.09090909090909093,1.0
Cambridge Heath,0.10416666666666667,0.0625,0.0,0.0,0.4375,0.16666666666666666,0.0625,0.125,0.04166666666666666,0.0
Camden Town,0.051020408163265314,0.010204081632653059,0.0,0.0,0.5510204081632653,0.16326530612244894,0.040816326530612235,0.15306122448979592,0.030612244897959183,1.0
Canary Wharf,0.03,0.04,0.0,0.0,0.65,0.03,0.11,0.1,0.04,0.0
Cann Hall,0.0,0.1111111111111111,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0
Canning Town,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0
Canonbury,0.05555555555555555,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0
Carshalton,0.0,0.0,0.0,0.0,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.0
Castelnau,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0
Castle Green,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
Catford,0.03125,0.0,0.0,0.0,0.375,0.09375,0.0,0.34375,0.15625,0.0
Chadwell Heath,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0
