,Neighbourhood,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel
119,Crossness,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0
120,Crouch End,0.07547169811320754,0.05660377358490566,0.0,0.0,0.6037735849056604,0.11320754716981132,0.0,0.1320754716981132,0.018867924528301886
121,Croydon,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2
122,Crystal Palace,0.09090909090909091,0.045454545454545456,0.0,0.0,0.18181818181818182,0.0,0.3181818181818182,0.09090909090909091,0.2727272727272727
123,Cubitt Town,0.0,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0
124,Cudham,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
125,Custom House,0.034482758620689655,0.0,0.0,0.0,0.4827586206896552,0.06896551724137931,0.06896551724137931,0.0,0.3448275862068966
126,Dagenham,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0
127,Dalston,0.029411764705882353,0.029411764705882353,0.0,0.0,0.5294117647058824,0.14705882352941177,0.029411764705882353,0.17647058823529413,0.058823529411764705
128,De Beauvoir Town,0.0,0.0,0.0,0.0,0.5277777777777778,0.19444444444444445,0.1111111111111111,0.16666666666666666,0.0
129,Denmark Hill,0.0,0.05263157894736842,0.0,0.0,0.5263157894736842,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.05263157894736842
130,Deptford,0.06,0.08,0.0,0.0,0.36,0.18,0.02,0.16,0.14
131,Derry Downs,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
132,Dollis Hill,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.0
133,Downe,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
134,Downham,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0
135,Dulwich,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
136,Ealing,0.029411764705882353,0.058823529411764705,0.0,0.0,0.47058823529411764,0.14705882352941177,0.058823529411764705,0.058823529411764705,0.17647058823529413
137,Earls Court,0.031746031746031744,0.015873015873015872,0.0,0.0,0.42857142857142855,0.06349206349206349,0.06349206349206349,0.07936507936507936,0.31746031746031744
138,Earlsfield,0.034482758620689655,0.034482758620689655,0.0,0.0,0.5172413793103449,0.2413793103448276,0.034482758620689655,0.10344827586206896,0.034482758620689655
139,East Barnet,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.0
140,East Bedfont,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0
141,East Dulwich,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.21428571428571427
142,East Finchley,0.0,0.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111
143,East Ham,0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.0
144,East Sheen,0.0,0.0,0.0,0.0,0.5652173913043478,0.17391304347826086,0.043478260869565216,0.21739130434782608,0.0
145,East Wickham,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
146,Eden Park,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333
147,Edgware,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.07142857142857142,0.0
148,Edmonton,0.0625,0.0,0.0,0.0,0.4375,0.0625,0.0625,0.3125,0.0625
149,Eel Pie Island,0.021739130434782608,0.021739130434782608,0.0,0.0,0.5217391304347826,0.13043478260869565,0.06521739130434782,0.1956521739130435,0.043478260869565216
150,Elephant and Castle,0.06521739130434782,0.06521739130434782,0.021739130434782608,0.0,0.4782608695652174,0.15217391304347827,0.10869565217391304,0.043478260869565216,0.06521739130434782
151,Elm Park,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0
152,Elmers End,0.125,0.0,0.0,0.0,0.75,0.125,0.0,0.0,0.0
153,Elmstead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
154,Eltham,0.06666666666666667,0.03333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.36666666666666664,0.03333333333333333
155,Emerson Park,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Enfield Highway,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0
157,Enfield Lock,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5
158,Enfield Town,0.016129032258064516,0.08064516129032258,0.0,0.0,0.3709677419354839,0.08064516129032258,0.03225806451612903,0.3870967741935484,0.03225806451612903
159,Enfield Wash,0.0,0.06666666666666667,0.0,0.0,0.4666666666666667,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.0
160,Erith,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.09090909090909091,0.45454545454545453,0.09090909090909091
161,Falconwood,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0
162,Feltham,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.6,0.2
163,Finchley,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0
164,Finsbury,0.07,0.02,0.0,0.0,0.53,0.22,0.07,0.07,0.02
165,Finsbury Park,0.05555555555555555,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.2222222222222222
166,Fitzrovia,0.01,0.01,0.0,0.0,0.69,0.08,0.01,0.14,0.06
167,Foots Cray,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0
168,Forest Gate,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.25,0.16666666666666666
169,Forestdale,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
170,Fortis Green,0.029411764705882353,0.0,0.0,0.0,0.4411764705882353,0.14705882352941177,0.029411764705882353,0.20588235294117646,0.14705882352941177
171,Freezywater,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2222222222222222,0.1111111111111111
172,Friern Barnet,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
173,Frognal,0.07692307692307693,0.05128205128205128,0.0,0.0,0.6153846153846154,0.05128205128205128,0.0,0.1794871794871795,0.02564102564102564
174,Fulham,0.1111111111111111,0.044444444444444446,0.0,0.0,0.4666666666666667,0.13333333333333333,0.011111111111111112,0.18888888888888888,0.044444444444444446
175,Fulwell,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285
176,Gallows Corner,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.4444444444444444,0.0
177,Gants Hill,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.2,0.1
178,Gidea Park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
179,Gipsy Hill,0.0,0.0,0.0,0.0,0.8333333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
180,Goddington,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0
181,Golders Green,0.0,0.0,0.0,0.0,0.7352941176470589,0.029411764705882353,0.0,0.17647058823529413,0.058823529411764705
182,Goodmayes,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
183,Gospel Oak,0.1,0.1,0.0,0.0,0.45,0.05,0.1,0.15,0.05
184,Grahame Park,0.23076923076923078,0.07692307692307693,0.0,0.0,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0
185,Grange Park,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25
186,Greenford,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0
187,Greenwich,0.1568627450980392,0.00980392156862745,0.00980392156862745,0.0,0.3431372549019608,0.11764705882352941,0.14705882352941177,0.08823529411764706,0.12745098039215685
188,Grove Park,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111
189,Gunnersbury,0.0,0.047619047619047616,0.0,0.0,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.19047619047619047
190,Hackney,0.06666666666666667,0.0,0.0,0.0,0.4,0.23333333333333334,0.06666666666666667,0.23333333333333334,0.0
191,Hackney Central,0.06666666666666667,0.03333333333333333,0.0,0.0,0.5333333333333333,0.13333333333333333,0.05,0.13333333333333333,0.05
192,Hackney Marshes,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0
193,Hackney Wick,0.1724137931034483,0.034482758620689655,0.0,0.0,0.41379310344827586,0.2413793103448276,0.034482758620689655,0.06896551724137931,0.034482758620689655
194,Hadley Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25
195,Haggerston,0.07692307692307693,0.02564102564102564,0.0,0.0,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.05128205128205128
196,Hainault,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2
197,Ham,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0
198,Hammersmith,0.02247191011235955,0.0449438202247191,0.0,0.0,0.5280898876404494,0.1348314606741573,0.033707865168539325,0.15730337078651685,0.07865168539325842
199,Hampstead,0.0625,0.020833333333333332,0.0,0.0,0.6875,0.08333333333333333,0.0,0.125,0.020833333333333332
200,Hampstead Garden Suburb,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
201,Hampton,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
202,Hampton Hill,0.0,0.0,0.0,0.0,0.43478260869565216,0.13043478260869565,0.17391304347826086,0.17391304347826086,0.08695652173913043
203,Hampton Wick,0.0,0.05263157894736842,0.0,0.0,0.42105263157894735,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.15789473684210525
204,Hanwell,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
205,Hanworth,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
206,Harefield,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
207,Harlesden,0.0,0.0,0.0,0.0,0.4,0.05,0.05,0.3,0.2
208,Harlington,0.0,0.05555555555555555,0.0,0.0,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.2222222222222222
209,Harmondsworth,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222
210,Harold Hill,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
211,Harold Park,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
212,Harold Wood,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0
213,Harringay,0.0,0.02702702702702703,0.0,0.0,0.7297297297297297,0.10810810810810811,0.0,0.10810810810810811,0.02702702702702703
214,Harrow,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.0
215,Harrow Weald,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0
216,Harrow on the Hill,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
217,Hatch End,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25
218,Hatton,0.0,0.1,0.0,0.0,0.2,0.2,0.0,0.2,0.3
219,Havering-atte-Bower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
220,Hayes,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.2857142857142857
221,Hazelwood,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
222,Hendon,0.0,0.05555555555555555,0.0,0.0,0.5555555555555556,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.16666666666666666
223,Herne Hill,0.09090909090909091,0.09090909090909091,0.0,0.0,0.36363636363636365,0.0,0.0,0.36363636363636365,0.09090909090909091
224,Heston,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857
225,Highams Park,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.2
226,Highbury,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666
227,Highgate,0.14814814814814814,0.0,0.0,0.0,0.5185185185185185,0.2222222222222222,0.07407407407407407,0.0,0.037037037037037035
228,Hillingdon,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0
229,Hither Green,0.0,0.07407407407407407,0.0,0.0,0.4444444444444444,0.0,0.037037037037037035,0.18518518518518517,0.25925925925925924
230,Holborn,0.13,0.06,0.0,0.0,0.51,0.08,0.05,0.12,0.05
231,Holland Park,0.03125,0.0625,0.0,0.0,0.34375,0.125,0.125,0.25,0.0625
232,Holloway,0.0,0.03773584905660377,0.0,0.0,0.5283018867924528,0.16981132075471697,0.03773584905660377,0.18867924528301888,0.03773584905660377
233,Homerton,0.11764705882352941,0.0,0.0,0.0,0.47058823529411764,0.11764705882352941,0.029411764705882353,0.2647058823529412,0.0
234,Honor Oak,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857
235,Hook,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0
236,Horn Park,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0
237,Hornchurch,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4
238,Hornsey,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.2,0.0
239,Hounslow,0.0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.38461538461538464,0.15384615384615385
